Latitude,longitude,tree_dbh,status,health,spc_common,boroname
40.72232476,-73.99073674,7,Alive,Good,honeylocust,Manhattan
40.80929314,-73.9654983,5,Alive,Good,honeylocust,Manhattan
40.77241673,-73.95684834,12,Alive,Good,American linden,Manhattan
40.77346065,-73.95804293,8,Alive,Good,American linden,Manhattan
40.77117978,-73.94736721,10,Alive,Good,honeylocust,Manhattan
40.7327581,-73.9847638,7,Alive,Good,honeylocust,Manhattan
40.78280478,-73.97468132,17,Alive,Good,London planetree,Manhattan
40.78240423,-73.97497302,24,Alive,Good,London planetree,Manhattan
40.73689499,-74.00358611,20,Alive,Good,Ohio buckeye,Manhattan
40.7357081,-73.99817893,14,Alive,Good,Sophora,Manhattan
40.76362307,-73.96388853,9,Alive,Good,Sophora,Manhattan
40.78041662,-73.96007527,8,Alive,Good,Callery pear,Manhattan
40.76437966,-73.9892713,18,Alive,Good,Callery pear,Manhattan
40.78061277,-73.98415749,7,Alive,Good,Callery pear,Manhattan
40.73791181,-74.00199676,12,Alive,Good,Callery pear,Manhattan
40.74865418,-73.97795891,10,Alive,Good,ginkgo,Manhattan
40.7859023,-73.972460709999993,8,Alive,Good,honeylocust,Manhattan
40.71991019,-73.99005439,4,Alive,Good,honeylocust,Manhattan
40.73986146,-73.98536217,5,Alive,Fair,Japanese zelkova,Manhattan
40.7398883,-73.98542513,6,Alive,Fair,Japanese zelkova,Manhattan
40.76491371,-73.96085724,0,Stump,NA,NA,Manhattan
40.76439762,-73.95963287,11,Alive,Good,honeylocust,Manhattan
40.77018175,-73.98110854,6,Alive,Good,honeylocust,Manhattan
40.77029022,-73.98329815,2,Alive,Fair,honeylocust,Manhattan
40.77339058,-73.96333908,10,Alive,Fair,Callery pear,Manhattan
40.80528416,-73.96134249,8,Alive,Good,Callery pear,Manhattan
40.77040139,-73.96611252,8,Alive,Good,Callery pear,Manhattan
40.78093706,-73.98492381,10,Alive,Good,Callery pear,Manhattan
40.73722897,-74.00564484,9,Alive,Fair,Sophora,Manhattan
40.75376323,-73.96638946,4,Alive,Good,Norway maple,Manhattan
40.74704876,-73.99280743,4,Alive,Good,Sophora,Manhattan
40.7940205,-73.97446103,13,Alive,Good,Sophora,Manhattan
40.72058608,-73.98520399,7,Alive,Poor,Norway maple,Manhattan
40.79637945,-73.96197027,4,Alive,Poor,swamp white oak,Manhattan
40.70819667,-74.01770609,10,Alive,Good,Japanese zelkova,Manhattan
40.73520205,-74.00582898,8,Dead,NA,NA,Manhattan
40.74033544,-73.97729531,2,Alive,Good,American linden,Manhattan
40.78374081,-73.97382001,10,Alive,Good,honeylocust,Manhattan
40.75765083,-73.98304478,4,Alive,Good,ginkgo,Manhattan
40.77323496,-73.95820514,7,Alive,Good,American linden,Manhattan
40.80805619,-73.95983152,7,Alive,Good,ginkgo,Manhattan
40.76178034,-73.98700411,5,Alive,Good,Sophora,Manhattan
40.73712447,-74.00566547,11,Alive,Fair,Sophora,Manhattan
40.77160911,-73.95939435,7,Alive,Fair,Callery pear,Manhattan
40.76808416,-73.99225614,4,Alive,Good,Norway maple,Manhattan
40.77017766,-73.98303059,12,Alive,Good,honeylocust,Manhattan
40.80393434,-73.95280608,6,Alive,Good,American linden,Manhattan
40.80378267,-73.95279851,6,Alive,Fair,American linden,Manhattan
40.72999096,-73.98829794,10,Alive,Good,Norway maple,Manhattan
40.77043849,-73.98209704,4,Alive,Good,crab apple,Manhattan
40.76294435,-73.9603253,12,Alive,Good,ginkgo,Manhattan
40.76319395,-73.96091309,9,Alive,Good,honeylocust,Manhattan
40.76253995,-73.96324927,2,Alive,Good,American linden,Manhattan
40.78028829,-73.98365234,8,Alive,Good,honeylocust,Manhattan
40.75715997,-73.98223654,9,Alive,Good,pin oak,Manhattan
40.78276884,-73.97371081,5,Alive,Good,ginkgo,Manhattan
40.77223224,-73.95222734,4,Alive,Good,honeylocust,Manhattan
40.77201829,-73.95909467,13,Alive,Fair,honeylocust,Manhattan
40.76256232,-73.98946512,8,Alive,Good,honeylocust,Manhattan
40.84066107,-73.93833216,9,Alive,Good,honeylocust,Manhattan
40.77253263,-73.95840918,11,Alive,Fair,Callery pear,Manhattan
40.74021106,-73.97738586,14,Alive,Good,mulberry,Manhattan
40.83746668,-73.93929338,5,Alive,Fair,tulip-poplar,Manhattan
40.74668938,-73.98064292,10,Alive,Good,Sophora,Manhattan
40.77098167,-73.95762928,14,Alive,Good,Japanese zelkova,Manhattan
40.71846392,-73.98291922,2,Alive,Good,Japanese zelkova,Manhattan
40.72813901,-74.00239005,8,Alive,Good,northern red oak,Manhattan
40.73832995,-73.98041969,9,Alive,Good,honeylocust,Manhattan
40.73605973,-74.00000137,11,Alive,Good,ginkgo,Manhattan
40.76993259,-73.96030435,10,Alive,Good,honeylocust,Manhattan
40.78268096,-73.95560689,8,Alive,Fair,American linden,Manhattan
40.78215257,-73.97232222,15,Alive,Poor,London planetree,Manhattan
40.73418424,-73.97819267,19,Alive,Good,London planetree,Manhattan
40.7826314,-73.97345602,20,Alive,Good,London planetree,Manhattan
40.728764,-73.97874426,3,Alive,Good,Amur maple,Manhattan
40.78118721,-73.97585927,28,Alive,Good,London planetree,Manhattan
40.78187241,-73.98516023,22,Alive,Good,sweetgum,Manhattan
40.78144695,-73.98529868,9,Alive,Good,sweetgum,Manhattan
40.77160406,-73.94732748,7,Alive,Good,sawtooth oak,Manhattan
40.73963797,-74.00424989,6,Alive,Good,Japanese zelkova,Manhattan
40.7988762,-73.97069227,8,Alive,Good,ginkgo,Manhattan
40.73615968,-74.00400565,17,Alive,Good,American linden,Manhattan
40.73619602,-74.00374514,12,Alive,Good,honeylocust,Manhattan
40.7824135,-73.97500548,6,Alive,Good,ginkgo,Manhattan
40.72457568,-73.99390133,6,Alive,Good,Japanese zelkova,Manhattan
40.80738644,-73.96715782,23,Alive,Good,American elm,Manhattan
40.74905627,-73.9776674,12,Alive,Good,American elm,Manhattan
40.80650311,-73.96769955,0,Stump,NA,NA,Manhattan
40.70793564,-74.01785188,13,Alive,Good,Japanese zelkova,Manhattan
40.71593877,-73.99624627,2,Alive,Good,Japanese zelkova,Manhattan
40.74455271,-73.98138805,6,Alive,Fair,Japanese zelkova,Manhattan
40.74546931,-73.98520182,3,Dead,NA,NA,Manhattan
40.80361816,-73.96052882,30,Alive,Good,London planetree,Manhattan
40.77033221,-73.98339798,12,Alive,Good,honeylocust,Manhattan
40.78228053,-73.95589738,11,Alive,Good,honeylocust,Manhattan
40.78248964,-73.95574568,10,Alive,Fair,honeylocust,Manhattan
40.77194903,-73.95883437,6,Alive,Good,honeylocust,Manhattan
40.77976285,-73.9816732,4,Alive,Good,holly,Manhattan
40.73124483,-73.98633627,19,Alive,Good,littleleaf linden,Manhattan
40.7908691,-73.97867284,5,Alive,Good,littleleaf linden,Manhattan
40.76609772,-73.9522019,7,Alive,Poor,littleleaf linden,Manhattan
40.78002006,-73.98163588,2,Alive,Good,holly,Manhattan
40.72026956,-73.98245553,13,Alive,Good,littleleaf linden,Manhattan
40.71794533,-73.99102583,8,Alive,Good,northern red oak,Manhattan
40.77276928,-73.96160593,0,Stump,NA,NA,Manhattan
40.75771037,-73.98288762,4,Dead,NA,NA,Manhattan
40.78063037,-73.96058243,0,Stump,NA,NA,Manhattan
40.74668429,-73.98454526,5,Alive,Fair,ginkgo,Manhattan
40.71696143,-73.991493,16,Alive,Good,London planetree,Manhattan
40.78236005,-73.97500519,18,Alive,Good,London planetree,Manhattan
40.78232067,-73.97503387,26,Alive,Good,London planetree,Manhattan
40.78177137,-73.97547309,4,Alive,Good,London planetree,Manhattan
40.78253631,-73.97487683,23,Alive,Good,London planetree,Manhattan
40.80521641,-73.96208728,6,Alive,Fair,Japanese zelkova,Manhattan
40.78245491,-73.9730381,0,Stump,NA,NA,Manhattan
40.78853777,-73.94362576,4,Alive,Good,Japanese zelkova,Manhattan
40.78845662,-73.9434339,4,Alive,Good,Japanese zelkova,Manhattan
40.77050847,-73.98604486,8,Alive,Good,honeylocust,Manhattan
40.76269727,-73.98723336,10,Alive,Fair,American linden,Manhattan
